Video ID,Emotion_Percentages
haK2TnmVoT0,"{'positive': 26.38186986734049, 'joy': 18.990840176879342, 'trust': 12.618445988629185, 'anticipation': 10.407454200884397, 'negative': 9.041377132027794, 'surprise': 6.7514213518635495, 'sadness': 4.46936197094125, 'anger': 3.81396083385976, 'disgust': 3.790271636133923, 'fear': 3.734996841440303}"
iY1UnR7z7P0,"{'positive': 18.247170388498013, 'negative': 14.790455796879778, 'joy': 10.416029366778831, 'anticipation': 10.125420617925972, 'trust': 9.89599265830529, 'anger': 8.917100030590394, 'disgust': 8.182930559804221, 'sadness': 7.617008259406546, 'fear': 6.439278066687059, 'surprise': 5.368614255123891}"
jOzaz27K48E,"{'positive': 27.001013171225935, 'joy': 16.590678824721376, 'trust': 11.296859169199596, 'anticipation': 10.207700101317123, 'negative': 9.067882472137791, 'sadness': 6.509625126646404, 'surprise': 5.597771023302938, 'fear': 4.711246200607903, 'disgust': 4.5339412360688955, 'anger': 4.4832826747720365}"
jY3P-f6q-ZI,"{'positive': 31.703094568275265, 'joy': 22.61415278078338, 'trust': 11.447738584721922, 'anticipation': 9.65159056481281, 'negative': 6.232417225708721, 'surprise': 5.323523046959532, 'sadness': 4.414628868210344, 'disgust': 3.1811296256221597, 'fear': 3.1378489504436264, 'anger': 2.2938757844622377}"
jwfI8BlFwMw,"{'positive': 23.706810465348514, 'joy': 15.148791691631716, 'negative': 13.780707010185738, 'trust': 10.794887157978831, 'anticipation': 10.265628120631117, 'disgust': 8.22848012782105, 'surprise': 5.052925903734772, 'sadness': 4.653485120830837, 'fear': 4.333932494507689, 'anger': 4.0343519073297385}"
kavjzsRtuuA,"{'positive': 31.565796779566906, 'joy': 21.737923375902277, 'trust': 11.771238200999445, 'anticipation': 9.80011104941699, 'negative': 6.440866185452526, 'surprise': 5.746807329261521, 'sadness': 4.525263742365353, 'fear': 2.9428095502498612, 'anger': 2.8317601332593, 'disgust': 2.637423653525819}"
l2mtebeR3rA,"{'positive': 28.022576272692934, 'joy': 20.08532764482368, 'trust': 11.968091016154478, 'anticipation': 10.479301379908005, 'negative': 7.981690109548252, 'surprise': 5.266315578961402, 'sadness': 5.084105504077506, 'fear': 3.817523276226029, 'anger': 3.6508677199297823, 'disgust': 3.6442014976779324}"
n50DZvVAulM,"{'positive': 26.93597142071998, 'joy': 19.274525968672712, 'trust': 11.38774388568288, 'anticipation': 10.332508931025007, 'negative': 9.914811761472931, 'surprise': 5.726848035174498, 'sadness': 5.375103050288541, 'disgust': 3.8252267106347895, 'fear': 3.643858202802968, 'anger': 3.583402033525694}"
ou3h0twV9TY,"{'positive': 29.577464788732392, 'joy': 19.718309859154928, 'trust': 8.998435054773083, 'negative': 8.37245696400626, 'anticipation': 7.902973395931142, 'sadness': 6.259780907668231, 'surprise': 5.555555555555555, 'anger': 5.320813771517996, 'fear': 4.616588419405321, 'disgust': 3.6776212832550863}"
pJ8hLOkhl7M,"{'positive': 25.227362593910634, 'joy': 14.907077896401741, 'anticipation': 10.794780545670225, 'trust': 10.715697904310003, 'negative': 10.201660735468565, 'sadness': 6.287069988137604, 'fear': 6.049822064056939, 'surprise': 5.417160933175167, 'disgust': 5.3776196124950575, 'anger': 5.021747726374061}"
